raw_position,reconciled_position
web applications engineer,web designer
network technician,network administrator
supervisor factory,plant manager
dbas,database administrator
videotape editor,video editor
retail sales team member,retail sales assistant
beverage server,waiter
nurses aide,nurse assistant
staff accountant,accountant
hvac r technician,hvac technician
senior accountant,accountant
maint mechanic,maintenance mechanic
hvac lead,hvac technician
nurses assistant,nurse assistant
cna,nurse assistant
commercial service specialist,commercial analyst
translation project manager,project manager
database supervisor,database administrator
occ therapist,occupational therapist
hvac maintenance technician,hvac technician
heavy equipment operators,heavy equipment operator
web software developer,web designer
manager financial services,finance manager
technical project manager,it project manager
equipment installer,equipment operator
manager financial,finance manager
computer programmer,software developer
retail sales specialist,retail sales assistant
human resources administrative assistant,administration assistant
welding technician,welder
project coord,project coordinator
master welder,welder
structural test engineer,structural engineer
noc engineer,network administrator
accountants,accountant
maintenance helper,maintenance technician
hvac maintenance mechanic,hvac technician
hvac service technician,hvac technician
project accountant,accountant
waitress,waiter
systems administrator,system administrator
cost estimator,estimator
art administrator,art director
manager of maintenance,maintenance manager
registered occupational therapist,occupational therapist
web site designer,web designer
hvac tech,hvac technician
art therapy,art director
ui designer,user interface designer
fiscal manager,finance manager
room service server,waiter
supervisor plant,plant manager
equipment specialist,equipment operator
manager finance,finance manager
electrical technician,electrician
facility technician,maintenance technician
staff assistant,administration assistant
networking engineer,network administrator
manager of financial,finance manager
financial center manager,finance manager
project administrator,project manager
room server,waiter
assistant construction superintendent,construction manager
user experience designer,user interface designer
commercial specialist,commercial analyst
equipment analyst,equipment operator
hvac specialist,hvac technician
retail sales agent,retail sales assistant
database admin,database administrator
master electrician,electrician
ccie,network administrator
server administrator,system administrator
assistant interior designer,interior designer
finance executive,executive assistant
structural analysis engineer,structural engineer
web application developer,web designer
executive admin,executive assistant
systems software engineer,software developer
application support engineer,software developer
web applications developer,web designer
assistant coordinator,executive assistant
ccna,network administrator
industrial maintenance electrician,industrial electrician
licensed nursing assistant,nurse assistant
fashion journalist,journalist
ui developer,user interface designer
