Hotel Manager	3	intro	parsed_text	I started working in the hotel industry more than [duration] years ago as a guest services representative for [org], a boutique hotel and spa.
Hotel Manager	7	intro	parsed_text	For the past [duration] years, I have worked as a [position].
Human Resources Assistant	3	intro	parsed_text	With [duration] years of experience in Human Resources, I am motivated to join an organisation where I can contribute my unique skills and grow as a Human Resources professional.
Human Resources Assistant	7	intro	parsed_text	I am intrigued by the opportunity to bring my talent, experience, and commitment to helping people in a company like [org], an innovator in the cloud computing marketplace.
Human Resources Coordinator	5	intro	parsed_text	Recently, I developed [number] e-learning modules that employees can access online to review their benefit options during the open enrolment period.
Human Resources Manager	3	intro	parsed_text	As a certified human resources professional, I gain satisfaction from serving my community by helping service-oriented companies like [org] acquire and retain talented employees.
Human Resources Manager	5	intro	parsed_text	I look forward to assisting [org] in the improvement of employee relations by developing and implementing initiatives that support the employees from the moment of hire until the time of retirement.
IT Director	3	intro	parsed_text	I have [duration] years of experience in leading teams in IT development, and I am skilled at communicating plans and directives to upper management and the leaders of other departments.
IT Director	5	intro	parsed_text	I have fond memories of my time spent in higher learning institutions, and I would enjoy helping [org] reach its goals for efficient management of online resources and security.
IT Professional	5	intro	parsed_text	I am especially excited to team up with a proven advertising company like [org] and help you with your endeavours to serve the business community with creative and successful advertising campaigns.
IT Specialist	5	intro	parsed_text	The second position for which I am qualified and interested, is that of the IT Department Supervisor, as I have been given the supervisory role over [org] for the past [duration] years of my experience, overseeing all customer IT help and mentoring/training all department employees.
IT Specialist	7	intro	parsed_text	I am thoroughly enthusiastic about both positions at [org], and submit my qualifications and candidacy to your evaluation to which I might suit better.
Insurance Agent	7	intro	parsed_text	But beyond this, I am very conscientious, trustworthy and reliable when it comes to meeting deadlines and sales targets and would be a valuable addition to the [org] team..
Intelligence Analyst	3	intro	parsed_text	Investigating and examining intelligence and training operatives to assist and serve the [location] government, as private contractors like Centurion do, is one of the greatest privileges.
Intelligence Analyst	5	intro	parsed_text	With my extremely data-oriented mentality, strong analytical skills and personal integrity, I believe that I can be an asset to both [org] and the intelligence community it regularly works with.
LPN	1	intro	parsed_text	My name is [user_name] and I am a Licenced Practical Nurse.
LPN	7	intro	parsed_text	I recently married, moved to [location] with my husband and am seeking full-time employment.
LVN	3	intro	parsed_text	I worked as an EMT before I joined the military and during my time as a medic in [location] the last [duration] years of my deployment.
LVN	5	intro	parsed_text	After those experiences, I decided I wanted to go to medical school and focus on emergency medicine for the [location].
Legal Assistant	3	intro	parsed_text	I am an experienced assistant and have been specialising in family law at [org] for the past [duration] years.
Legal Intern	11	intro	parsed_text	I am intrigued by the idea of using my organisational and writing skills to help [org] achieve their goal of seeking justice for clients.
Legal Secretary	5	intro	parsed_text	In my enclosed resume, you will find that I have over [duration] years experience as a [position] in a large [location] firm which housed over 10 family law attorneys.
Legal Secretary	7	intro	parsed_text	I was responsible for assisting all [number], and did so with aplomb-as they can attest.
Librarian	5	intro	parsed_text	[org] is a thriving hub in this community, and I would greatly enjoy being a part of the team that helps this library grow and meet the information needs of its patrons.
Library Assistant	1	intro	parsed_text	Once upon a time, my mom thought she lost me in the library, but I was actually hiding in the stacks, organising the books in a dusty corner of the [org].
Mail Carrier	3	intro	parsed_text	For [number], I am [location] and communicate well while keeping confidentiality in mind.
Makeup Artist	5	intro	parsed_text	I started doing makeup for people when I was [duration] years old.
Management Consultant	3	intro	parsed_text	As a well-educated and highly qualified candidate, I know I can bring dedication and results to [org].
Marketer	3	intro	parsed_text	As a marketing manager with more than [duration] years' experience at leading agencies, I've cultivated a talent for developing creative and successful marketing strategies.
Marketer	5	intro	parsed_text	I'm excited about combining my skills and my desire to serve the community with [org]' extensive nonprofit client portfolio.
Marketing Assistant	5	intro	parsed_text	I believe that the progressive marketing methodologies regularly implemented by the award-winning [org] makes me an ideal fit for both your organisation and the job.
Marketing Director	5	intro	parsed_text	I am also very excited to be considered for a position at a company that is known worldwide for creating visual identities for brands such as [org] and [org].
Marketing Director	7	intro	parsed_text	[org] offers the type of customer satisfaction and long-term client relationships I want to be a part of in my future endeavours.
Marketing Manager	3	intro	parsed_text	My family and I have recently built our dream home here in Pine Mountain, [location].
Marketing Manager	7	intro	parsed_text	I hope you will consider my experience and the new innovations and additional value I can bring to [org].
Medical Assistant	3	intro	parsed_text	I have always wanted to work in a doctor’s office and specifically at [org].
Medical Assistant	7	intro	parsed_text	I graduated with honours and went on to take and pass the Certified Medical Assistant (CMA) test administered by [org].
Medical Office Manager	1	intro	parsed_text	I recently moved into the city in part because of [org]'s stellar reputation.
Medical Office Manager	3	intro	parsed_text	I have worked as a [position] for the past [duration] years and would like the opportunity to talk to you about your open position.
Medical Receptionist	1	intro	parsed_text	I have recently relocated to [location], [location] and am seeking a position as a [position].
Medical Receptionist	5	intro	parsed_text	An extremely busy practise, [org] Paediatrics has [number] doctors with a minimum of [distance] the office during all office hours.
Medical Receptionist	7	intro	parsed_text	All doctors were on staff next door at [org]; therefore the practise took care of children with a wide variety of diseases and disorders, referring some to the specialists associated with the hospital.
Medical Receptionist	9	intro	parsed_text	There was a great deal of responsibility associated with my job at [org].
Nanny	3	intro	parsed_text	My experience with children paired with my education in Early Childhood Development makes me confident that [org] is a place where I can add value.
Network Engineer	7	intro	parsed_text	However, with my diligence, problem-solving skills and openness to learning from all those with whom I work, I believe that I would be an asset to [org].
Nurse Educator	1	intro	parsed_text	After [duration] years as a floor nurse, the time has come for me to transition to helping other nurses learn essential skills for patient care.
Nurse Educator	5	intro	parsed_text	I have worked with nurses trained at [org], and they were some of the best nurses I have ever seen.
Nurse Practitioner	3	intro	parsed_text	As a fully accredited and licenced nurse with [duration] years of experience working in private clinics, I bring a wealth of medical knowledge, technical aptitude, and interpersonal skills that help patients feel comfortable and confident in all aspects of their care.
Nursing Assistant	1	intro	parsed_text	I want to take this opportunity to thank you for posting the position of [org] in Sunday’s edition of the Wichita Times.
Nursing Assistant	3	intro	parsed_text	I have long respected the work that has and is being done at [org], and know I can be an integral part to the great community work that is done there.
Nursing Student	1	intro	parsed_text	I'm excited to apply for the Registered Nursing position in the paediatric department at [org].
Office Clerk	9	intro	parsed_text	I feel that working at [org] would allow me to advance my skill set.
Office Coordinator	3	intro	parsed_text	I have worked within the administrative field for [duration] years.
Office Manager	7	intro	parsed_text	I supervise a team of [number] clerical employees and I coordinate all office functions.
Office Manager	9	intro	parsed_text	Our office handles [number] stores, [distance] [location] and [distance] St. Paul.
